"Dataset_ID","Module","Task","Status","Message","Rows","Columns","Output_File"
"GTEx_COLON","roc","GTEx_COLON_ATF3_estimate_scores","success","","4","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/estimate/GTEx_COLON_ATF3_estimate_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_estimate_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_ips_scores","success","","6","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/ips/GTEx_COLON_ATF3_ips_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_ips_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_mcpcounter_scores","success","","10","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/mcpcounter/GTEx_COLON_ATF3_mcpcounter_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_mcpcounter_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_integration_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/integration/GTEx_COLON_ATF3_integration_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_integration_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_pca_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/pca/GTEx_COLON_ATF3_pca_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_pca_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_ssgsea_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/ssgsea/GTEx_COLON_ATF3_ssgsea_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_ssgsea_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"GTEx_COLON","roc","GTEx_COLON_ATF3_zscore_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/GTEx/GTEx_COLON/GENE_ATF3/Target_Group/tables/roc/zscore/GTEx_COLON_ATF3_zscore_scores_target_group_roc.csv"
"GTEx_COLON","cluster","GTEx_COLON_ATF3_zscore_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"TCGA_COAD_01A","survival","TCGA_COAD_01A_ATF3_cibersort_abs_scores","success","","12","5","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/survival/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores_batch_survival.csv"
"TCGA_COAD_01A","roc","TCGA_COAD_01A_ATF3_cibersort_abs_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/roc/cibersort_abs/TCGA_COAD_01A_ATF3_cibersort_abs_scores_target_group_roc.csv"
"TCGA_COAD_01A","cluster","TCGA_COAD_01A_ATF3_cibersort_abs_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"TCGA_COAD_01A","survival","TCGA_COAD_01A_ATF3_cibersort_scores","success","","12","5","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/survival/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores_batch_survival.csv"
"TCGA_COAD_01A","roc","TCGA_COAD_01A_ATF3_cibersort_scores","success","","12","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/roc/cibersort/TCGA_COAD_01A_ATF3_cibersort_scores_target_group_roc.csv"
"TCGA_COAD_01A","cluster","TCGA_COAD_01A_ATF3_cibersort_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
"TCGA_COAD_01A","survival","TCGA_COAD_01A_ATF3_epic_scores","success","","8","5","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/survival/epic/TCGA_COAD_01A_ATF3_epic_scores_batch_survival.csv"
"TCGA_COAD_01A","roc","TCGA_COAD_01A_ATF3_epic_scores","success","","8","3","/Users/solomon/Projects/CRLM_dormancy/results/iobr/exploratory/TCGA/TCGA_COAD_01A/GENE_ATF3/Target_Group/tables/roc/epic/TCGA_COAD_01A_ATF3_epic_scores_target_group_roc.csv"
"TCGA_COAD_01A","cluster","TCGA_COAD_01A_ATF3_epic_scores","skipped","Need >=3 features and NbClust.",NA,NA,""
