"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"SMAD3","18.33333333333333","4","45","4","45","6","0.00008197692470975009936","0.00000306239904861474987170","4.0863083778789600","0.01220000000000000","4.66658975537700993","5","1"
"TFAP2C","29.33333333333334","5","76","7","5","76","0.00028106362836046897913","0.02963926816716560067033193","3.5511953515621100","0.00186700000000000","2.17487789031887990","6","2"
"SOX2","43.00000000000000","12","99","99","18","12","0.20316692554010601368120","0.00021246454572220699764246","0.6921469913908500","0.00609800000000000","3.70371548113330995","5","3"
"VDR","45.33333333333334","23","75","38","75","23","0.01602916556293370112241","0.00174239263000386997853886","1.7950890853093500","0.02027000000000000","3.13095431568237004","5","4"
"TP53","49.33333333333334","1","82","1","65","82","0.00000000213025720060962","0.03393152137108859656144944","8.6715679580344904","0.01829000000000000","2.12088452354708012","5","5"
"TP63","50.66666666666666","7","80","65","7","80","0.06688340505664940038866","0.03252291629244079967930858","1.1746816249280501","0.00245700000000000","2.13792394731160007","5","6"
"HNF1B","52.33333333333334","37","63","63","57","37","0.06027516723819340005441","0.00556232012658802038584938","1.2198615759646301","0.01684000000000000","2.77252526564355017","3","7"
"GATA3","59.00000000000000","16","116","16","116","45","0.00124759639946154989726","0.00882312715636019047338312","2.9039258872783398","0.03030000000000000","2.61883245108597018","6","8"
"KLF4","81.00000000000000","21","172","21","50","172","0.00212612382550701013370","0.09907360827588369833751614","2.6724114457542099","0.01413000000000000","1.64936144581805011","5","9"
"ATF3","81.33333333333333","47","122","75","122","47","0.10186131238673899745972","0.01074816887431559973842266","0.9919907326498570","0.03194000000000000","2.55078149193917980","6","10"
"KLF6","85.33333333333333","74","105","77","74","105","0.10651912034262399353590","0.05190721735620380111742023","0.9725724287137720","0.02020000000000000","1.94390243680193997","4","11"
"FOS","90.66666666666666","12","245","15","12","245","0.00094167041929909395519","0.16527577220386299727827861","3.0261010718622798","0.00336700000000000","1.38754456367161993","5","12"
"GATA6","92.00000000000000","36","193","47","193","36","0.03094343914738960019117","0.00526308440390547017245781","1.5094314191522000","0.05051000000000000","2.79047451132605984","5","13"
"SOX9","96.00000000000000","25","156","25","107","156","0.00271818960878369986212","0.08526833111600200243440639","2.5657202521008098","0.02849000000000000","1.72090352899484000","5","14"
"TCF12","97.00000000000000","28","217","46","28","217","0.02949629739997549834896","0.14120115634947799643228450","1.5302324965533800","0.00847500000000000","1.47133272872638998","5","15"
"FOSL1","97.33333333333333","41","151","41","151","100","0.02418841106662270035166","0.04783473369760080085022480","1.6163926594455800","0.03989000000000000","1.97883369278508003","5","16"
"PAX5","103.00000000000000","14","214","81","214","14","0.12594402525476400267479","0.00059444404096183002701725","0.8998224304718150","0.05651000000000000","3.43413683121839997","5","17"
"TCF7L2","104.33333333333333","47","136","136","47","130","0.36513002652829501526455","0.06727663275509150608844067","0.4375524513029520","0.01347000000000000","1.82982151336824006","6","18"
"PRDM1","104.66666666666667","8","196","110","8","196","0.24295956027049800396433","0.11484882071211199860982788","0.6144660071132890","0.00248900000000000","1.57676841946572011","5","19"
"SNAI2","106.33333333333333","26","184","184","109","26","0.77710484799882995066156","0.00323297338021215005521292","0.1095203816683550","0.02887000000000000","2.94467186228663014","4","20"
"HIF1A","110.00000000000000","20","225","20","225","85","0.00191049467975005007880","0.03454837969606110170683877","2.7188541673754201","0.05958000000000000","2.11361247248053008","5","21"
"CDX2","110.00000000000000","60","141","129","60","141","0.32033516427603897502863","0.07372436994433340107235608","0.4943953847429750","0.01720000000000000","1.78832015496758001","5","22"
"STAT3","111.66666666666667","72","163","72","100","163","0.08818400568049500343193","0.09005788104909299984779381","1.0546101776187500","0.02694000000000000","1.69509246692208992","6","23"
"IRF4","120.66666666666667","40","161","40","161","161","0.01829164250900940091871","0.08963417853509469956918565","1.7377472950391000","0.04238000000000000","1.69733058202745002","5","24"
"CREB3L1","121.66666666666667","35","196","196","134","35","1.00000000000000000000000","0.00507552354031527968442061","0.0000000000000000","0.03501000000000000","2.80220103039312018","4","25"
"ESR1","122.00000000000000","3","229","3","229","134","0.00005252292717788000084","0.06894034131308060531218018","4.2796510780552204","0.06061000000000000","1.81881053017330996","6","26"
"ETS2","124.00000000000000","48","169","155","169","48","0.49423094389738997378458","0.01145049053105309973255022","0.3060700668190580","0.04423000000000000","2.52864154429595001","4","27"
"SMAD4","129.00000000000000","8","370","9","370","8","0.00029932014509875300027","0.00003758361407054999970461","3.5238640529199001","0.10370000000000000","4.12185353260828968","5","28"
"MYC","129.66666666666666","24","276","89","276","24","0.16137032939394099773089","0.00227723773145143987967076","0.7921763145027080","0.07467000000000000","3.05147004030522018","6","29"
"MAFB","132.00000000000000","48","218","48","130","218","0.03094343914738960019117","0.14135332246158599511787202","1.5094314191522000","0.03423000000000000","1.47077002110085009","4","30"
"EGR1","135.33333333333334","28","277","28","277","101","0.00693737775306365028055","0.04854267504524809734300916","2.1588046567179400","0.07494000000000001","1.97258665159096003","6","31"
"AHR","135.66666666666666","13","288","13","106","288","0.00042423497508980702536","0.24422906602525498720446251","3.3723935299204499","0.02826000000000000","1.16448117966455000","5","32"
"ETS1","140.66666666666666","2","376","2","376","44","0.00002436279132732760048","0.00836758629747320036018632","4.6132729546021096","0.10690000000000000","2.63686606263811019","6","33"
"GRHL2","141.00000000000000","12","390","12","21","390","0.00039248422367135597788","0.43683210432264601985608010","3.4061777955051600","0.00673400000000000","0.77755380315899902","5","34"
"JUN","143.33333333333334","26","238","26","166","238","0.00600615474200399956928","0.15568298322225299079590854","2.2214034828708500","0.04377000000000000","1.41974139115033005","6","35"
