Pathway,GSE13485 DAY1 VS DAY21 YF17D VACCINE PBMC DN,GSE13485 DAY1 VS DAY3 YF17D VACCINE PBMC DN,GSE13485 CTRL VS DAY1 YF17D VACCINE PBMC UP,"GSE1460 INTRATHYMIC T PROGENITOR VS NAIVE CD4
TCELL CORD BLOOD UP",GSE10239 MEMORY VS KLRG1HIGH EFF CD8 TCELL DN,GSE10239 MEMORY VS DAY4.5 EFF CD8 TCELL DN,"GSE36888 UNTREATED VS IL2 TREATED STAT5 AB
KNOCKIN TCELL 6H DN","GSE10239 KLRG1INT VS KLRG1HIGH EFF CD8 TCELL
DN",GSE6674 UNSTIM VS ANTI IGM STIM BCELL UP,"GSE5099 UNSTIM VS MCSF TREATED MONOCYTE DAY7
UP","GSE13547 CTRL VS ANTI IGM STIM ZFX KO BCELL
2H DN",GSE22886 CD8 VS CD4 NAIVE TCELL UP,GSE22886 NAIVE CD4 TCELL VS MEMORY TCELL DN,"GSE29617 CTRL VS DAY3 TIV FLU VACCINE PBMC
2008 DN",GSE22033 WT VS PPARG KO MEF DN,GSE22886 NAIVE CD4 TCELL VS DC DN,GSE22886 NAIVE CD4 TCELL VS NKCELL DN,GSE8515 CTRL VS IL6 4H STIM MAC UP,"GSE46025 WT VS FOXO1 KO KLRG1 LOW CD8
EFFECTOR TCELL DN","GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP","GSE9006 HEALTHY VS TYPE 2 DIABETES PBMC AT DX
UP","GSE9006 TYPE 1 DIABETES AT DX VS 4MONTH POST
DX PBMC UP",GSE22589 HEALTHY VS SIV INFECTED DC UP,GSE21033 CTRL VS POLYIC STIM DC 1H UP,GSE21033 3H VS 12H POLYIC STIM DC DN,"GSE19888 ADENOSINE A3R INH VS ACT WITH
INHIBITOR PRETREATMENT IN MAST CELL DN","GSE36891 UNSTIM VS POLYIC TLR3 STIM
PERITONEAL MACROPHAGE UP","GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP","GSE37605 TREG VS TCONV NOD FOXP3 FUSION GFP
UP","GSE32986 CURDLAN HIGHDOSE VS GMCSF AND
CURDLAN HIGHDOSE STIM DC DN",GSE23925 DARK ZONE VS NAIVE BCELL DN,"GSE45365 CD8A DC VS CD11B DC IFNAR KO MCMV
INFECTION DN",GSE28237 FOLLICULAR VS EARLY GC BCELL DN,GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,GOLDRATH NAIVE VS EFF CD8 TCELL DN,GOLDRATH EFF VS MEMORY CD8 TCELL UP,GSE14415 TCONV VS FOXP3 KO INDUCED TREG DN,"GSE13547 WT VS ZFX KO BCELL ANTI IGM STIM 2H
UP","GSE16266 CTRL VS HEATSHOCK AND LPS STIM MEF
UP","GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP"
"GSE13547 CTRL VS ANTI IGM STIM ZFX KO BCELL
2H DN",0.05847953216374269,0.011695906432748537,0.023391812865497075,0.029239766081871343,0.017543859649122806,0.023391812865497075,0.017543859649122806,0.005847953216374269,0.029239766081871343,0.03508771929824561,1.0,0.03508771929824561,0.04678362573099415,0.023391812865497075,0.017543859649122806,0.023391812865497075,0.005847953216374269,0.017543859649122806,0.011695906432748537,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.011695906432748537,0.005847953216374269,0.0,0.011695906432748537,0.011695906432748537,0.023391812865497075,0.029239766081871343,0.005847953216374269,0.023391812865497075,0.011695906432748537,0.023391812865497075,0.017543859649122806,0.029239766081871343,0.05263157894736842,0.011695906432748537,0.017543859649122806
GSE22886 CD8 VS CD4 NAIVE TCELL UP,0.04,0.035,0.03,0.02,0.005,0.01,0.02,0.03,0.025,0.035,0.03,1.0,0.165,0.06,0.035,0.035,0.115,0.01,0.02,0.015,0.005,0.0,0.01,0.02,0.0,0.01,0.0,0.005,0.0,0.0,0.005,0.005,0.005,0.01,0.015,0.02,0.015,0.03,0.02,0.005
GSE22886 NAIVE CD4 TCELL VS MEMORY TCELL DN,0.045,0.03,0.03,0.04,0.035,0.04,0.025,0.03,0.04,0.045,0.04,0.165,1.0,0.05,0.035,0.025,0.06,0.01,0.02,0.025,0.025,0.025,0.01,0.015,0.0,0.0,0.005,0.005,0.0,0.005,0.01,0.005,0.035,0.01,0.015,0.03,0.035,0.02,0.02,0.03
"GSE29617 CTRL VS DAY3 TIV FLU VACCINE PBMC
2008 DN",0.12562814070351758,0.04020100502512563,0.010050251256281407,0.020100502512562814,0.035175879396984924,0.01507537688442211,0.05025125628140704,0.01507537688442211,0.010050251256281407,0.02512562814070352,0.020100502512562814,0.06030150753768844,0.05025125628140704,1.0,0.035175879396984924,0.07035175879396985,0.04020100502512563,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.020100502512562814,0.01507537688442211,0.02512562814070352,0.005025125628140704,0.0,0.0,0.0,0.010050251256281407,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.0,0.020100502512562814,0.01507537688442211,0.02512562814070352,0.010050251256281407,0.02512562814070352,0.020100502512562814,0.05025125628140704,0.05025125628140704
GSE22033 WT VS PPARG KO MEF DN,0.03015075376884422,0.005025125628140704,0.01507537688442211,0.04020100502512563,0.04020100502512563,0.02512562814070352,0.01507537688442211,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.035175879396984924,0.035175879396984924,0.035175879396984924,1.0,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.020100502512562814,0.01507537688442211,0.010050251256281407,0.0,0.010050251256281407,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.020100502512562814,0.07035175879396985,0.035175879396984924,0.04522613065326633,0.05025125628140704,0.01507537688442211,0.020100502512562814,0.020100502512562814
GSE22886 NAIVE CD4 TCELL VS DC DN,0.015,0.04,0.03,0.055,0.01,0.02,0.045,0.015,0.02,0.01,0.02,0.035,0.025,0.07,0.015,1.0,0.07,0.025,0.02,0.005,0.005,0.015,0.01,0.02,0.01,0.015,0.005,0.005,0.015,0.01,0.0,0.0,0.02,0.025,0.035,0.03,0.03,0.01,0.04,0.025
GSE22886 NAIVE CD4 TCELL VS NKCELL DN,0.025252525252525252,0.04040404040404041,0.050505050505050504,0.06060606060606061,0.020202020202020204,0.025252525252525252,0.020202020202020204,0.045454545454545456,0.020202020202020204,0.025252525252525252,0.005050505050505051,0.11616161616161616,0.06060606060606061,0.04040404040404041,0.020202020202020204,0.0707070707070707,1.0,0.03535353535353535,0.03535353535353535,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.0,0.020202020202020204,0.015151515151515152,0.015151515151515152,0.025252525252525252,0.03535353535353535,0.020202020202020204,0.015151515151515152,0.010101010101010102
GSE8515 CTRL VS IL6 4H STIM MAC UP,0.015,0.005,0.025,0.015,0.03,0.06,0.005,0.015,0.01,0.02,0.015,0.01,0.01,0.015,0.005,0.025,0.035,1.0,0.02,0.015,0.015,0.015,0.005,0.005,0.015,0.005,0.015,0.0,0.0,0.005,0.015,0.005,0.005,0.03,0.025,0.01,0.01,0.015,0.025,0.025
"GSE46025 WT VS FOXO1 KO KLRG1 LOW CD8
EFFECTOR TCELL DN",0.020618556701030927,0.02577319587628866,0.005154639175257732,0.010309278350515464,0.05154639175257732,0.020618556701030927,0.015463917525773196,0.020618556701030927,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.015463917525773196,0.020618556701030927,0.03608247422680412,0.020618556701030927,1.0,0.0,0.015463917525773196,0.010309278350515464,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.015463917525773196,0.010309278350515464,0.015463917525773196,0.005154639175257732,0.0,0.030927835051546393,0.015463917525773196,0.010309278350515464,0.02577319587628866,0.020618556701030927,0.020618556701030927,0.041237113402061855,0.015463917525773196
"GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP",0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.0,0.01,0.005,0.02,0.015,0.025,0.02,0.005,0.005,0.005,0.015,0.0,1.0,0.495,0.155,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.005,0.005,0.02,0.01,0.025,0.01,0.025,0.055
"GSE9006 HEALTHY VS TYPE 2 DIABETES PBMC AT DX
UP",0.005,0.005,0.01,0.025,0.01,0.015,0.025,0.0,0.015,0.005,0.01,0.005,0.025,0.02,0.02,0.005,0.005,0.015,0.015,0.495,1.0,0.18,0.025,0.015,0.01,0.015,0.0,0.005,0.005,0.015,0.01,0.0,0.005,0.005,0.01,0.005,0.015,0.025,0.045,0.05
"GSE9006 TYPE 1 DIABETES AT DX VS 4MONTH POST
DX PBMC UP",0.0,0.015,0.005,0.02,0.02,0.02,0.02,0.005,0.005,0.005,0.02,0.0,0.025,0.015,0.015,0.015,0.015,0.015,0.01,0.155,0.18,1.0,0.025,0.02,0.01,0.025,0.06,0.09,0.07,0.09,0.07,0.03,0.005,0.005,0.015,0.02,0.02,0.015,0.015,0.025
GSE22589 HEALTHY VS SIV INFECTED DC UP,0.010050251256281407,0.01507537688442211,0.0,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.02512562814070352,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.0,0.05025125628140704,0.02512562814070352,0.02512562814070352,1.0,0.020100502512562814,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.020100502512562814,0.02512562814070352,0.02512562814070352,0.020100502512562814,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.005025125628140704,0.03015075376884422
GSE21033 CTRL VS POLYIC STIM DC 1H UP,0.0,0.0,0.0,0.015306122448979591,0.01020408163265306,0.00510204081632653,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.015306122448979591,0.00510204081632653,0.0,0.02040816326530612,0.015306122448979591,0.00510204081632653,0.0,0.02040816326530612,0.015306122448979591,0.02040816326530612,0.02040816326530612,1.0,0.015306122448979591,0.015306122448979591,0.01020408163265306,0.025510204081632654,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.015306122448979591,0.0,0.00510204081632653,0.02040816326530612,0.030612244897959183,0.01020408163265306,0.015306122448979591,0.0,0.00510204081632653
GSE21033 3H VS 12H POLYIC STIM DC DN,0.0,0.0,0.0,0.0136986301369863,0.00684931506849315,0.0,0.0,0.0,0.02054794520547945,0.0,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.00684931506849315,0.02054794520547945,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.02054794520547945,1.0,0.00684931506849315,0.03424657534246575,0.0410958904109589,0.0410958904109589,0.02054794520547945,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.00684931506849315,0.00684931506849315,0.0,0.0,0.0,0.0
"GSE19888 ADENOSINE A3R INH VS ACT WITH
INHIBITOR PRETREATMENT IN MAST CELL DN",0.0,0.0,0.0,0.0,0.0,0.005,0.015,0.01,0.01,0.005,0.005,0.01,0.0,0.0,0.005,0.015,0.005,0.005,0.01,0.01,0.015,0.025,0.015,0.015,0.005,1.0,0.025,0.01,0.015,0.005,0.02,0.005,0.0,0.0,0.005,0.015,0.01,0.015,0.005,0.0
"GSE36891 UNSTIM VS POLYIC TLR3 STIM
PERITONEAL MACROPHAGE UP",0.006711409395973154,0.0,0.013422818791946308,0.0,0.0,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.0,0.0,0.006711409395973154,0.0,0.013422818791946308,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.013422818791946308,0.0,0.0,0.08053691275167785,0.020134228187919462,0.013422818791946308,0.03355704697986577,0.03355704697986577,1.0,0.4228187919463087,0.3288590604026846,0.12080536912751678,0.10738255033557047,0.0738255033557047,0.0,0.0,0.006711409395973154,0.013422818791946308,0.0,0.0,0.020134228187919462,0.0
"GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP",0.013071895424836602,0.013071895424836602,0.0196078431372549,0.0,0.006535947712418301,0.013071895424836602,0.0196078431372549,0.013071895424836602,0.006535947712418301,0.0,0.013071895424836602,0.006535947712418301,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.006535947712418301,0.006535947712418301,0.0,0.0196078431372549,0.0,0.006535947712418301,0.11764705882352941,0.026143790849673203,0.032679738562091505,0.0392156862745098,0.013071895424836602,0.4117647058823529,1.0,0.39215686274509803,0.1437908496732026,0.1503267973856209,0.0915032679738562,0.0,0.006535947712418301,0.032679738562091505,0.0457516339869281,0.006535947712418301,0.032679738562091505,0.0196078431372549,0.006535947712418301
"GSE37605 TREG VS TCONV NOD FOXP3 FUSION GFP
UP",0.006666666666666667,0.006666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.006666666666666667,0.006666666666666667,0.02,0.006666666666666667,0.0,0.013333333333333334,0.0,0.006666666666666667,0.09333333333333334,0.03333333333333333,0.02666666666666667,0.04,0.02,0.32666666666666666,0.4,1.0,0.11333333333333333,0.11333333333333333,0.06666666666666667,0.0,0.006666666666666667,0.0,0.013333333333333334,0.0,0.006666666666666667,0.013333333333333334,0.0
"GSE32986 CURDLAN HIGHDOSE VS GMCSF AND
CURDLAN HIGHDOSE STIM DC DN",0.0,0.02,0.005,0.015,0.015,0.015,0.005,0.015,0.01,0.005,0.02,0.0,0.005,0.01,0.02,0.01,0.01,0.005,0.015,0.02,0.015,0.09,0.025,0.01,0.015,0.005,0.09,0.11,0.085,1.0,0.1,0.06,0.005,0.005,0.02,0.03,0.005,0.015,0.03,0.03
GSE23925 DARK ZONE VS NAIVE BCELL DN,0.0,0.015,0.01,0.01,0.005,0.005,0.005,0.01,0.005,0.005,0.025,0.005,0.01,0.01,0.005,0.0,0.005,0.015,0.005,0.0,0.01,0.07,0.02,0.02,0.01,0.02,0.08,0.115,0.085,0.1,1.0,0.03,0.01,0.005,0.025,0.03,0.005,0.01,0.015,0.025
"GSE45365 CD8A DC VS CD11B DC IFNAR KO MCMV
INFECTION DN",0.0,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.005208333333333333,0.020833333333333332,0.015625,0.0,0.0,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.010416666666666666,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.03125,0.020833333333333332,0.015625,0.010416666666666666,0.005208333333333333,0.057291666666666664,0.07291666666666667,0.052083333333333336,0.0625,0.03125,1.0,0.005208333333333333,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.020833333333333332,0.0
GSE28237 FOLLICULAR VS EARLY GC BCELL DN,0.01,0.005,0.02,0.05,0.02,0.035,0.025,0.04,0.035,0.03,0.02,0.005,0.035,0.02,0.02,0.02,0.02,0.005,0.03,0.005,0.005,0.005,0.015,0.0,0.01,0.0,0.0,0.0,0.0,0.005,0.01,0.005,1.0,0.07,0.05,0.065,0.09,0.05,0.045,0.015
GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,0.035,0.035,0.04,0.115,0.1,0.075,0.01,0.055,0.02,0.025,0.01,0.01,0.01,0.015,0.07,0.025,0.015,0.03,0.015,0.005,0.005,0.005,0.015,0.005,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.07,1.0,0.235,0.29,0.22,0.11,0.035,0.025
GOLDRATH NAIVE VS EFF CD8 TCELL DN,0.03,0.02,0.025,0.065,0.1,0.065,0.015,0.055,0.0,0.02,0.02,0.015,0.015,0.025,0.035,0.035,0.015,0.025,0.01,0.02,0.01,0.015,0.01,0.02,0.005,0.005,0.005,0.025,0.0,0.02,0.025,0.01,0.05,0.235,1.0,0.615,0.13,0.105,0.07,0.025
GOLDRATH EFF VS MEMORY CD8 TCELL UP,0.035,0.025,0.03,0.08,0.125,0.08,0.02,0.05,0.005,0.025,0.015,0.02,0.03,0.01,0.045,0.03,0.025,0.01,0.025,0.01,0.005,0.02,0.01,0.03,0.005,0.015,0.01,0.035,0.01,0.03,0.03,0.01,0.065,0.29,0.615,1.0,0.165,0.145,0.085,0.025
GSE14415 TCONV VS FOXP3 KO INDUCED TREG DN,0.016216216216216217,0.03783783783783784,0.010810810810810811,0.0972972972972973,0.043243243243243246,0.03783783783783784,0.016216216216216217,0.03783783783783784,0.005405405405405406,0.02702702702702703,0.02702702702702703,0.016216216216216217,0.03783783783783784,0.02702702702702703,0.05405405405405406,0.032432432432432434,0.03783783783783784,0.010810810810810811,0.021621621621621623,0.02702702702702703,0.016216216216216217,0.021621621621621623,0.016216216216216217,0.010810810810810811,0.0,0.010810810810810811,0.0,0.005405405405405406,0.0,0.005405405405405406,0.005405405405405406,0.0,0.0972972972972973,0.23783783783783785,0.14054054054054055,0.1783783783783784,1.0,0.31351351351351353,0.032432432432432434,0.010810810810810811
