Pathway,ATTENTION DEFICIT HYPERACTIVITY DISORDER,AUTISM,CONSTIPATION,ABNORMAL SOCIAL BEHAVIOR,INCREASED HEAD CIRCUMFERENCE,BROAD FOREHEAD,HIGH FOREHEAD,INCREASED BODY WEIGHT,ABNORMALITY OF THYROID PHYSIOLOGY,"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",SELF INJURIOUS BEHAVIOR,AGGRESSIVE BEHAVIOR,HYPOPLASIA OF THE CORPUS CALLOSUM,DELAYED ABILITY TO WALK,LONG PHILTRUM,MACROTIA,TOOTH MALPOSITION,ABNORMAL STERNUM MORPHOLOGY,PECTUS EXCAVATUM,LARGE FACE,TAPERED FINGER,LONG FINGERS,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
FEET",SHORT FOOT,"APLASIA HYPOPLASIA INVOLVING BONES OF THE
LOWER LIMBS",SYNDACTYLY,CONGENITAL ABNORMAL HAIR PATTERN,THIN VERMILION BORDER,THIN UPPER LIP VERMILION,ABNORMALITY OF UPPER LIP VERMILLION,X LINKED INHERITANCE,ABNORMAL SHAPE OF THE FRONTAL REGION,PROPTOSIS,ABNORMAL MALE URETHRAL MEATUS MORPHOLOGY,ABNORMALITY OF THE URETHRA,HIGH NARROW PALATE,ABNORMALITY OF THE ELBOW,ABNORMAL KNEE MORPHOLOGY,RED EYE,ABNORMAL CONJUNCTIVA MORPHOLOGY
THIN VERMILION BORDER,0.25813953488372093,0.14883720930232558,0.2302325581395349,0.08372093023255814,0.20930232558139536,0.18372093023255814,0.17906976744186046,0.19767441860465115,0.14883720930232558,0.1930232558139535,0.16279069767441862,0.2441860465116279,0.24186046511627907,0.2186046511627907,0.3953488372093023,0.1883720930232558,0.29069767441860467,0.24186046511627907,0.1813953488372093,0.1930232558139535,0.15348837209302327,0.2441860465116279,0.2302325581395349,0.1511627906976744,0.26046511627906976,0.26976744186046514,0.28837209302325584,1.0,0.7744186046511627,0.7906976744186046,0.07674418604651163,0.24883720930232558,0.15348837209302327,0.2441860465116279,0.24883720930232558,0.10465116279069768,0.14651162790697675,0.15348837209302327,0.023255813953488372,0.03255813953488372
THIN UPPER LIP VERMILION,0.2972972972972973,0.16816816816816818,0.2552552552552553,0.1021021021021021,0.2042042042042042,0.15315315315315314,0.18618618618618618,0.2012012012012012,0.15315315315315314,0.2222222222222222,0.18618618618618618,0.2732732732732733,0.2672672672672673,0.24324324324324326,0.43243243243243246,0.19519519519519518,0.3003003003003003,0.23423423423423423,0.1921921921921922,0.1981981981981982,0.16216216216216217,0.25225225225225223,0.24024024024024024,0.16516516516516516,0.26426426426426425,0.27627627627627627,0.30930930930930933,1.0,1.0,1.0,0.08108108108108109,0.25225225225225223,0.13213213213213212,0.23123123123123124,0.23423423423423423,0.11411411411411411,0.1021021021021021,0.12012012012012012,0.018018018018018018,0.02702702702702703
ABNORMALITY OF UPPER LIP VERMILLION,0.28482328482328484,0.16424116424116425,0.27442827442827444,0.0893970893970894,0.24116424116424118,0.14345114345114346,0.19750519750519752,0.19542619542619544,0.1683991683991684,0.20166320166320167,0.1496881496881497,0.24532224532224534,0.2681912681912682,0.21205821205821207,0.36382536382536385,0.17671517671517672,0.27234927234927236,0.23284823284823286,0.19126819126819128,0.18087318087318088,0.14345114345114346,0.22245322245322247,0.20582120582120583,0.1392931392931393,0.23076923076923078,0.2515592515592516,0.2515592515592516,0.7068607068607069,0.6923076923076923,1.0,0.07484407484407485,0.24116424116424118,0.14137214137214138,0.20166320166320167,0.20582120582120583,0.10810810810810811,0.09771309771309772,0.12266112266112267,0.014553014553014554,0.02702702702702703
X LINKED INHERITANCE,0.12927756653992395,0.11406844106463879,0.11787072243346007,0.060836501901140684,0.17110266159695817,0.08745247148288973,0.09885931558935361,0.155893536121673,0.09505703422053231,0.11787072243346007,0.11406844106463879,0.1520912547528517,0.1482889733840304,0.10266159695817491,0.10266159695817491,0.155893536121673,0.16730038022813687,0.14068441064638784,0.12547528517110265,0.1520912547528517,0.07604562737642585,0.1444866920152091,0.11406844106463879,0.07984790874524715,0.1444866920152091,0.12167300380228137,0.09885931558935361,0.12547528517110265,0.10266159695817491,0.13688212927756654,1.0,0.11787072243346007,0.030418250950570342,0.17870722433460076,0.18631178707224336,0.053231939163498096,0.07984790874524715,0.08745247148288973,0.034220532319391636,0.04182509505703422
ABNORMAL SHAPE OF THE FRONTAL REGION,0.1590909090909091,0.12045454545454545,0.19772727272727272,0.05454545454545454,0.375,0.18409090909090908,0.21136363636363636,0.16363636363636364,0.18863636363636363,0.15227272727272728,0.125,0.11136363636363636,0.17727272727272728,0.12727272727272726,0.32045454545454544,0.1318181818181818,0.2840909090909091,0.33636363636363636,0.2318181818181818,0.2,0.075,0.17272727272727273,0.25227272727272726,0.1409090909090909,0.30227272727272725,0.32045454545454544,0.21136363636363636,0.2431818181818182,0.19090909090909092,0.2636363636363636,0.07045454545454545,1.0,0.28863636363636364,0.29318181818181815,0.31136363636363634,0.10681818181818181,0.17727272727272728,0.18409090909090908,0.03409090909090909,0.05
PROPTOSIS,0.16376306620209058,0.09059233449477352,0.16376306620209058,0.027874564459930314,0.2857142857142857,0.18118466898954705,0.24390243902439024,0.14634146341463414,0.1951219512195122,0.11149825783972125,0.06620209059233449,0.07317073170731707,0.18118466898954705,0.10452961672473868,0.30313588850174217,0.10801393728222997,0.22996515679442509,0.3902439024390244,0.30313588850174217,0.13240418118466898,0.0627177700348432,0.20209059233449478,0.20209059233449478,0.09059233449477352,0.26480836236933797,0.32752613240418116,0.21254355400696864,0.22996515679442509,0.15331010452961671,0.23693379790940766,0.027874564459930314,0.4425087108013937,1.0,0.289198606271777,0.30662020905923343,0.156794425087108,0.2229965156794425,0.21951219512195122,0.03832752613240418,0.05574912891986063
ABNORMAL MALE URETHRAL MEATUS MORPHOLOGY,0.16136919315403422,0.14180929095354522,0.18581907090464547,0.039119804400977995,0.2396088019559902,0.13447432762836187,0.18581907090464547,0.19070904645476772,0.1882640586797066,0.12469437652811736,0.10024449877750612,0.13691931540342298,0.19070904645476772,0.09046454767726161,0.3056234718826406,0.11735941320293398,0.23227383863080683,0.26405867970660146,0.18092909535452323,0.15892420537897312,0.07579462102689487,0.1784841075794621,0.21026894865525672,0.11491442542787286,0.26894865525672373,0.3276283618581907,0.28117359413202936,0.2567237163814181,0.1882640586797066,0.2371638141809291,0.11491442542787286,0.3154034229828851,0.20293398533007334,1.0,1.0,0.1466992665036675,0.1784841075794621,0.17603911980440098,0.034229828850855744,0.05623471882640587
ABNORMALITY OF THE URETHRA,0.18277310924369747,0.1638655462184874,0.21638655462184875,0.07352941176470588,0.226890756302521,0.16176470588235295,0.20168067226890757,0.21638655462184875,0.20798319327731093,0.11764705882352941,0.09243697478991597,0.12394957983193278,0.17016806722689076,0.07983193277310924,0.3235294117647059,0.14285714285714285,0.24579831932773108,0.2920168067226891,0.21218487394957983,0.1638655462184874,0.06512605042016807,0.16176470588235295,0.19117647058823528,0.1092436974789916,0.24789915966386555,0.3172268907563025,0.24579831932773108,0.22478991596638656,0.1638655462184874,0.20798319327731093,0.10294117647058823,0.28781512605042014,0.18487394957983194,0.8592436974789915,1.0,0.13445378151260504,0.15756302521008403,0.19747899159663865,0.037815126050420166,0.058823529411764705
HIGH NARROW PALATE,0.18012422360248448,0.13664596273291926,0.19875776397515527,0.11180124223602485,0.2919254658385093,0.15527950310559005,0.2608695652173913,0.19875776397515527,0.16149068322981366,0.12422360248447205,0.08074534161490683,0.12422360248447205,0.16149068322981366,0.14285714285714285,0.35403726708074534,0.13664596273291926,0.3416149068322981,0.45962732919254656,0.36645962732919257,0.19875776397515527,0.11801242236024845,0.36645962732919257,0.17391304347826086,0.11180124223602485,0.2670807453416149,0.3167701863354037,0.19875776397515527,0.2795031055900621,0.2360248447204969,0.32298136645962733,0.08695652173913043,0.2919254658385093,0.2795031055900621,0.37267080745341613,0.39751552795031053,1.0,0.2795031055900621,0.30434782608695654,0.06832298136645963,0.09316770186335403
ABNORMALITY OF THE ELBOW,0.07692307692307693,0.07692307692307693,0.1258741258741259,0.024475524475524476,0.26573426573426573,0.11538461538461539,0.15734265734265734,0.16783216783216784,0.09090909090909091,0.06993006993006994,0.045454545454545456,0.08041958041958042,0.0944055944055944,0.10139860139860139,0.3006993006993007,0.13986013986013987,0.2972027972027972,0.46503496503496505,0.33916083916083917,0.17482517482517482,0.08041958041958042,0.17482517482517482,0.2517482517482518,0.1258741258741259,0.3951048951048951,0.23776223776223776,0.22727272727272727,0.2202797202797203,0.11888111888111888,0.16433566433566432,0.07342657342657342,0.2727272727272727,0.22377622377622378,0.25524475524475526,0.26223776223776224,0.15734265734265734,1.0,0.5174825174825175,0.03496503496503497,0.055944055944055944
ABNORMAL KNEE MORPHOLOGY,0.15915119363395225,0.16180371352785147,0.22281167108753316,0.08488063660477453,0.19363395225464192,0.14588859416445624,0.15649867374005305,0.22546419098143236,0.17506631299734748,0.08222811671087533,0.07161803713527852,0.06631299734748011,0.13527851458885942,0.129973474801061,0.27851458885941643,0.13793103448275862,0.26525198938992045,0.40318302387267907,0.2891246684350133,0.17506631299734748,0.07427055702917772,0.1830238726790451,0.1883289124668435,0.10875331564986737,0.33156498673740054,0.1962864721485411,0.14588859416445624,0.17506631299734748,0.10610079575596817,0.15649867374005305,0.0610079575596817,0.21485411140583555,0.16710875331564987,0.1909814323607427,0.2493368700265252,0.129973474801061,0.3925729442970822,1.0,0.034482758620689655,0.050397877984084884
RED EYE,0.06060606060606061,0.015151515151515152,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.030303030303030304,0.08333333333333333,0.045454545454545456,0.09090909090909091,0.03787878787878788,0.022727272727272728,0.03787878787878788,0.05303030303030303,0.030303030303030304,0.09090909090909091,0.10606060606060606,0.12878787878787878,0.12121212121212122,0.10606060606060606,0.05303030303030303,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.030303030303030304,0.11363636363636363,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.045454545454545456,0.05303030303030303,0.06818181818181818,0.11363636363636363,0.08333333333333333,0.10606060606060606,0.13636363636363635,0.08333333333333333,0.07575757575757576,0.09848484848484848,1.0,0.9924242424242424
ABNORMAL CONJUNCTIVA MORPHOLOGY,0.08947368421052632,0.07894736842105263,0.11052631578947368,0.05263157894736842,0.14736842105263157,0.042105263157894736,0.07894736842105263,0.06315789473684211,0.12105263157894737,0.02631578947368421,0.015789473684210527,0.031578947368421054,0.05789473684210526,0.02631578947368421,0.08421052631578947,0.10526315789473684,0.1368421052631579,0.1736842105263158,0.14736842105263157,0.05263157894736842,0.02631578947368421,0.06842105263157895,0.1,0.042105263157894736,0.11578947368421053,0.09473684210526316,0.07894736842105263,0.07368421052631578,0.04736842105263158,0.06842105263157895,0.05789473684210526,0.11578947368421053,0.08421052631578947,0.12105263157894737,0.14736842105263157,0.07894736842105263,0.08421052631578947,0.1,0.6894736842105263,1.0
