"Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000288825","ENSG00000288825","H2AC18","ENSG00000288825","8337","protein_coding",533,1.6737983753546,3.20662179580149,15.0539868276589,1.35159797435202e-08,9.49241781488586e-05,9.06866601005878
"ENSG00000288859","ENSG00000288859","H2AC19","ENSG00000288859","723790","protein_coding",592,1.68070082384905,3.19985541490235,14.9360833664103,1.46623691919769e-08,9.49241781488586e-05,9.00687525868469
"ENSG00000123384","ENSG00000123384","LRP1","ENSG00000123384","4035","protein_coding",84879,0.669146935195844,6.63333681931637,14.1148065251509,2.62904619079931e-08,0.000113469633594898,9.74505095949846
"ENSG00000160179","ENSG00000160179","ABCG1","ENSG00000160179","9619","protein_coding",104701,1.75263706690956,3.64968532444762,13.0816460461447,5.73435252410657e-08,0.000168104376284118,8.35328954100217
"ENSG00000136450","ENSG00000136450","SRSF1","ENSG00000136450","6426","protein_coding",6428,-0.589983372070909,7.72047828396787,-12.8403111301534,6.93484874839382e-08,0.000168104376284118,8.79536007745473
"ENSG00000163817","ENSG00000163817","SLC6A20","ENSG00000163817","54716","protein_coding",41143,0.649844078335462,6.02983879934906,12.6705048102641,7.94239058458554e-08,0.000168104376284118,8.6577326359965
"ENSG00000228691","ENSG00000228691","NEU1","ENSG00000228691","4758","protein_coding",5248,0.78625404417266,5.60811210556021,12.5037944676976,9.08812661406258e-08,0.000168104376284118,8.51317724786376
"ENSG00000143815","ENSG00000143815","LBR","ENSG00000143815","3930","protein_coding",28026,-0.521319188027129,6.60768436249975,-11.9859774878361,1.39550631501017e-07,0.000225833299317671,8.10162683568546
"ENSG00000166311","ENSG00000166311","SMPD1","ENSG00000166311","6609","protein_coding",4585,0.700667362822073,5.5113637406664,11.84724282686,1.56974026402459e-07,0.000225833299317671,7.98121116215307
"ENSG00000277753","ENSG00000277753","MUC20","ENSG00000277753","200958","protein_coding",19711,0.53541326454965,6.63859130699991,11.4437810766322,2.22549949316351e-07,0.000288157674374811,7.63399913609488
"ENSG00000130513","ENSG00000130513","GDF15","ENSG00000130513","9518","protein_coding",14446,0.722678717266076,6.62177991076453,11.2482253402481,2.64588238814429e-07,0.000311444410560839,7.46100684926429
"ENSG00000276358","ENSG00000276358","PLEKHM1","ENSG00000276358","9842","protein_coding",54500,0.478633980992921,7.63737839754914,11.0380534151847,3.19584852983267e-07,0.000344832056368945,7.26321161618715
"ENSG00000168003","ENSG00000168003","SLC3A2","ENSG00000168003","6520","protein_coding",32941,0.634594556602265,8.57470474823492,10.83115890642,3.8603838621999e-07,0.000378265047384138,7.08662254606513
"ENSG00000051108","ENSG00000051108","HERPUD1","ENSG00000051108","9709","protein_coding",14050,0.5483753879604,6.7526859225706,10.7604032112199,4.12091114386612e-07,0.000378265047384138,7.0112032365038
"ENSG00000163435","ENSG00000163435","ELF3","ENSG00000163435","1999","protein_coding",9239,0.733313764899572,6.38091861236348,10.6941731213768,4.38212520139178e-07,0.000378265047384138,6.95774959796001
