Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,SMALL RIBOSOMAL SUBUNIT,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,OXIDOREDUCTASE COMPLEX,CYTOCHROME COMPLEX,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",ORGANELLE ENVELOPE LUMEN,INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,PRECATALYTIC SPLICEOSOME,SPLICEOSOMAL COMPLEX,U2 TYPE PRECATALYTIC SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,U12 TYPE PRECATALYTIC SPLICEOSOME,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,SM LIKE PROTEIN FAMILY COMPLEX,U4 U6 SNRNP,SPLICEOSOMAL TRI SNRNP COMPLEX,ENDOCYTIC VESICLE,EARLY ENDOSOME,GOLGI APPARATUS SUBCOMPARTMENT,CELL CORTEX,PROTEIN COMPLEX INVOLVED IN CELL ADHESION,INTEGRIN COMPLEX,PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,NUCLEOID,PROTON TRANSPORTING ATP SYNTHASE COMPLEX
RIBOSOMAL SUBUNIT,1.0,0.6120218579234973,1.0,0.31693989071038253,0.5409836065573771,0.22404371584699453,0.22950819672131148,0.40437158469945356,0.17486338797814208,0.44808743169398907,0.28415300546448086,0.44808743169398907,0.0,0.0,0.0,0.0,0.1092896174863388,0.1092896174863388,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.5178571428571429,0.5178571428571429,0.0,0.21428571428571427,0.026785714285714284,0.017857142857142856,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.7754237288135594,0.4745762711864407,1.0,0.2457627118644068,0.5127118644067796,0.17372881355932204,0.18220338983050846,0.3135593220338983,0.13559322033898305,0.3516949152542373,0.22033898305084745,0.3559322033898305,0.0,0.0,0.0,0.0,0.08898305084745763,0.0847457627118644,0.0,0.00423728813559322,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211864406779661,0.00423728813559322,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,1.0,0.0,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC RIBOSOME,0.8181818181818182,0.4793388429752066,1.0,0.4793388429752066,1.0,0.33884297520661155,0.33884297520661155,0.33884297520661155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17355371900826447,0.1652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.0,0.0,1.0,0.0,1.0,1.0,0.43902439024390244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.4878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL SUBSTRATE JUNCTION,0.10071942446043165,0.05755395683453238,0.10311750599520383,0.05515587529976019,0.09832134292565947,0.04316546762589928,1.0,0.045563549160671464,0.0,0.002398081534772182,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.02877697841726619,0.02877697841726619,0.0,0.002398081534772182,0.002398081534772182,0.0,0.007194244604316547,0.0,0.0,0.004796163069544364,0.0,0.0,0.0,0.0,0.0,0.08393285371702638,0.050359712230215826,0.02158273381294964,0.13908872901678657,0.05275779376498801,0.045563549160671464,0.06235011990407674,0.002398081534772182,0.0
SMALL RIBOSOMAL SUBUNIT,1.0,0.04054054054054054,1.0,0.0,0.5540540540540541,0.5540540540540541,0.25675675675675674,1.0,0.43243243243243246,0.43243243243243246,0.02702702702702703,0.43243243243243246,0.0,0.0,0.0,0.0,0.2702702702702703,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,1.0,0.0625,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.45054945054945056,0.2857142857142857,0.45604395604395603,0.0,0.0,0.0,0.005494505494505495,0.17582417582417584,0.17582417582417584,1.0,0.2857142857142857,0.45054945054945056,0.01098901098901099,0.005494505494505495,0.016483516483516484,0.005494505494505495,0.0,0.0,0.0,0.08791208791208792,0.31868131868131866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
