"Function","Script_Analysis","Module","Scope","Target_Type","Description_CN","Requirement","Implemented_In_Script","Default_Run","Selected_This_Run"
"gene_3age","gene_3age","临床分组","指定癌种","基因","按年轻/中间/年老三组比较目标基因表达","无需额外配置",TRUE,TRUE,TRUE
"gene_age","gene_age","临床分组","指定癌种","基因","按年龄二分组比较目标基因表达","无需额外配置",TRUE,TRUE,TRUE
"gene_gender","gene_gender","临床分组","指定癌种","基因","按性别比较目标基因表达","无需额外配置",TRUE,TRUE,TRUE
"gene_stage","gene_stage","临床分组","指定癌种","基因","按病理分期比较目标基因表达","无需额外配置",TRUE,TRUE,TRUE
"gene_coexp_heatmap","gene_coexp_heatmap","共表达分析","指定癌种","基因","目标基因正/负共表达基因热图及GO富集","无需额外配置",TRUE,TRUE,TRUE
"get_cancers","data_summary","内置数据概览","泛癌","数据","输出TCGAplot内置33癌种tumor/normal样本数","无需额外配置",TRUE,TRUE,TRUE
"get_paired_cancers","data_summary","内置数据概览","泛癌","数据","输出TCGAplot内置可配对癌种样本数","无需额外配置",TRUE,TRUE,TRUE
"gene_checkpoint_heatmap","gene_checkpoint_heatmap","单基因免疫相关","泛癌","基因","目标基因与免疫检查点基因相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_chemokine_heatmap","gene_chemokine_heatmap","单基因免疫相关","泛癌","基因","目标基因与趋化因子相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_immucell_heatmap","gene_immucell_heatmap","单基因免疫相关","泛癌","基因","目标基因与免疫细胞比例相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_immuinhibitor_heatmap","gene_immuinhibitor_heatmap","单基因免疫相关","泛癌","基因","目标基因与免疫抑制因子相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_immunescore_heatmap","gene_immunescore_heatmap","单基因免疫相关","泛癌","基因","目标基因与Stromal/Immune/ESTIMATE score相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_immunescore_triangle","gene_immunescore_triangle","单基因免疫相关","泛癌","基因","目标基因与免疫评分相关性的三角热图","无需额外配置",TRUE,TRUE,TRUE
"gene_immustimulator_heatmap","gene_immustimulator_heatmap","单基因免疫相关","泛癌","基因","目标基因与免疫刺激因子相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_receptor_heatmap","gene_receptor_heatmap","单基因免疫相关","泛癌","基因","目标基因与趋化因子受体相关性热图","无需额外配置",TRUE,TRUE,TRUE
"gene_MSI_radar","gene_MSI_radar","单基因相关","泛癌","基因","目标基因表达与MSI相关性的泛癌雷达图","无需额外配置",TRUE,TRUE,TRUE
"gene_TMB_radar","gene_TMB_radar","单基因相关","泛癌","基因","目标基因表达与TMB相关性的泛癌雷达图","无需额外配置",TRUE,TRUE,TRUE
"paired_boxplot","paired_boxplot","单基因表达","指定癌种","基因","COAD配对tumor-normal表达差异箱线图","无需额外配置",TRUE,TRUE,TRUE
"pan_boxplot","pan_boxplot","单基因表达","泛癌","基因","泛癌tumor-normal表达差异箱线图","无需额外配置",TRUE,TRUE,TRUE
"pan_paired_boxplot","pan_paired_boxplot","单基因表达","泛癌","基因","泛癌配对tumor-normal表达差异箱线图","无需额外配置",TRUE,TRUE,TRUE
"pan_tumor_boxplot","pan_tumor_boxplot","单基因表达","泛癌","基因","泛癌肿瘤样本表达分布箱线图","无需额外配置",TRUE,TRUE,TRUE
"tcga_boxplot","tcga_boxplot","单基因表达","指定癌种","基因","COAD tumor-normal表达差异箱线图","无需额外配置",TRUE,TRUE,TRUE
"pan_forest","pan_forest","单基因预后","泛癌","基因","泛癌Cox回归森林图，同时输出未校正和年龄校正版本","无需额外配置",TRUE,TRUE,TRUE
"gene_gene_scatter","gene_gene_scatter","基因相关","指定癌种","基因对","两个指定基因的表达相关散点图","需要在GENE_PAIR_DESIGNS配置基因对",TRUE,TRUE,TRUE
"gene_network_go","gene_network_go","基因网络","不限癌种","基因/基因列表","输入基因列表的GO cnetplot网络图","默认至少2个NETWORK_GENES；ATF3单基因默认跳过",TRUE,TRUE,TRUE
"gene_network_kegg","gene_network_kegg","基因网络","不限癌种","基因/基因列表","输入基因列表的KEGG cnetplot网络图","默认至少2个NETWORK_GENES；ATF3单基因默认跳过",TRUE,TRUE,TRUE
