Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,"SNO S RNA CONTAINING RIBONUCLEOPROTEIN
COMPLEX",SMALL RIBOSOMAL SUBUNIT,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,CYTOSOLIC RIBOSOME,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 1 SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,U2 TYPE PRECATALYTIC SPLICEOSOME,PRECATALYTIC SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,SMALL NUCLEAR RIBONUCLEOPROTEIN COMPLEX,SPLICEOSOMAL TRI SNRNP COMPLEX,U4 U6 SNRNP,EXTRINSIC COMPONENT OF MEMBRANE,EXTRINSIC COMPONENT OF PLASMA MEMBRANE,BASAL PART OF CELL,CELL LEADING EDGE,EARLY ENDOSOME,EARLY ENDOSOME MEMBRANE,LATE ENDOSOME,TRANS GOLGI NETWORK,GOLGI APPARATUS SUBCOMPARTMENT,COATED VESICLE,CLATHRIN COATED VESICLE,ENDOCYTIC VESICLE,INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,NUCLEOID
RIBOSOMAL SUBUNIT,1.0,0.6120218579234973,1.0,0.31693989071038253,0.44808743169398907,0.28415300546448086,0.44808743169398907,0.17486338797814208,0.1092896174863388,0.1092896174863388,0.0,0.40437158469945356,0.22404371584699453,0.5409836065573771,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.5178571428571429,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.017857142857142856,0.0,0.0,0.0,0.026785714285714284,0.0,0.5178571428571429,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0
RIBOSOME,0.7754237288135594,0.4745762711864407,1.0,0.2457627118644068,0.3516949152542373,0.22033898305084745,0.3559322033898305,0.13559322033898305,0.08898305084745763,0.0847457627118644,0.0,0.3135593220338983,0.17372881355932204,0.5127118644067796,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.0,0.012711864406779662,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0211864406779661,0.0,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0
MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,0.45054945054945056,0.2857142857142857,0.45604395604395603,0.0,1.0,0.2857142857142857,0.45054945054945056,0.17582417582417584,0.0,0.0,0.0,0.17582417582417584,0.0,0.0,0.01098901098901099,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31868131868131866,0.07142857142857142
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORGANELLAR RIBOSOME,0.9761904761904762,0.6190476190476191,1.0,0.0,0.9761904761904762,0.6190476190476191,1.0,0.38095238095238093,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,1.0,0.0625,1.0,0.0,1.0,0.0625,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRERIBOSOME,0.18867924528301888,0.0,0.19811320754716982,0.0,0.0,0.0,0.0,0.0,1.0,0.6981132075471698,0.0660377358490566,0.18867924528301888,0.18867924528301888,0.19811320754716982,0.0,0.0,0.009433962264150943,0.0,0.0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0
SMALL SUBUNIT PROCESSOME,0.2702702702702703,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0945945945945946,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.0,0.0,0.013513513513513514,0.0,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0
