Pathway,"GSE30962 PRIMARY VS SECONDARY ACUTE LCMV INF
CD8 TCELL UP",GSE13547 CTRL VS ANTI IGM STIM BCELL 12H UP,GSE14415 NATURAL TREG VS TCONV DN,"GSE15750 DAY6 VS DAY10 TRAF6KO EFF CD8 TCELL
UP",GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,GSE14415 INDUCED VS NATURAL TREG DN,GSE13547 CTRL VS ANTI IGM STIM BCELL 2H UP,"GSE39110 DAY3 VS DAY6 POST IMMUNIZATION CD8
TCELL DN",GSE2405 S AUREUS VS UNTREATED NEUTROPHIL DN,GSE14415 INDUCED TREG VS TCONV UP,GSE13547 2H VS 12 H ANTI IGM STIM BCELL DN,"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL UP","GSE19941 LPS VS LPS AND IL10 STIM IL10 KO
MACROPHAGE UP","GSE21670 UNTREATED VS TGFB IL6 TREATED CD4
TCELL UP","GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES DN","GSE39556 CD8A DC VS NK CELL MOUSE 3H POST
POLYIC INJ UP",GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG DN","GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL OLD DN","GSE24634 TREG VS TCONV POST DAY7 IL4
CONVERSION UP",GSE24634 TEFF VS TCONV DAY7 IN CULTURE UP,"GSE12845 IGD POS BLOOD VS PRE GC TONSIL BCELL
DN","GSE17301 ACD3 ACD28 VS ACD3 ACD28 AND IFNA5
STIM CD8 TCELL UP","GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP","GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP","GSE37605 C57BL6 VS NOD FOXP3 FUSION GFP TREG
DN",GSE27434 WT VS DNMT1 KO TREG DN,GSE42021 TREG PLN VS CD24HI TREG THYMUS UP,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,"GSE26343 UNSTIM VS LPS STIM NFAT5 KO
MACROPHAGE DN",GSE9988 LOW LPS VS CTRL TREATED MONOCYTE UP,"GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS A3R INH AND TCELL MEMBRANES ACT
MAST CELL UP","GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP","GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
UP","GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP","GSE21546 WT VS SAP1A KO AND ELK1 KO ANTI CD3
STIM DP THYMOCYTES UP","GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES UP","GSE21546 UNSTIM VS ANTI CD3 STIM SAP1A KO DP
THYMOCYTES UP"
"GSE24634 TREG VS TCONV POST DAY7 IL4
CONVERSION UP",0.175,0.18,0.18,0.19,0.22,0.165,0.16,0.145,0.14,0.15,0.165,0.11,0.08,0.1,0.06,0.21,0.18,0.275,0.285,0.28,1.0,0.35,0.155,0.085,0.005,0.01,0.015,0.0,0.005,0.005,0.01,0.005,0.01,0.0,0.025,0.025,0.005,0.01,0.0,0.005
GSE24634 TEFF VS TCONV DAY7 IN CULTURE UP,0.16,0.225,0.2,0.23,0.245,0.17,0.18,0.175,0.165,0.14,0.115,0.14,0.09,0.115,0.06,0.255,0.205,0.275,0.29,0.275,0.35,1.0,0.165,0.09,0.025,0.01,0.015,0.01,0.01,0.02,0.02,0.005,0.015,0.0,0.02,0.035,0.0,0.005,0.005,0.005
"GSE12845 IGD POS BLOOD VS PRE GC TONSIL BCELL
DN",0.135,0.165,0.115,0.18,0.18,0.125,0.115,0.13,0.095,0.105,0.12,0.09,0.055,0.08,0.085,0.14,0.135,0.21,0.225,0.2,0.155,0.165,1.0,0.07,0.01,0.005,0.025,0.01,0.005,0.03,0.03,0.025,0.025,0.005,0.03,0.025,0.015,0.015,0.01,0.015
"GSE17301 ACD3 ACD28 VS ACD3 ACD28 AND IFNA5
STIM CD8 TCELL UP",0.11616161616161616,0.08080808080808081,0.06565656565656566,0.10606060606060606,0.1111111111111111,0.09595959595959595,0.06060606060606061,0.09595959595959595,0.08080808080808081,0.06565656565656566,0.05555555555555555,0.04040404040404041,0.08585858585858586,0.06565656565656566,0.050505050505050504,0.13131313131313133,0.09595959595959595,0.09595959595959595,0.10606060606060606,0.10101010101010101,0.08585858585858586,0.09090909090909091,0.0707070707070707,1.0,0.015151515151515152,0.025252525252525252,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.015151515151515152,0.005050505050505051,0.010101010101010102,0.0,0.005050505050505051,0.0,0.0
"GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP",0.006535947712418301,0.013071895424836602,0.0,0.013071895424836602,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.013071895424836602,0.006535947712418301,0.0,0.006535947712418301,0.026143790849673203,0.0,0.0,0.0,0.0,0.013071895424836602,0.006535947712418301,0.013071895424836602,0.0,0.006535947712418301,0.032679738562091505,0.013071895424836602,0.0196078431372549,1.0,0.3333333333333333,0.35947712418300654,0.1503267973856209,0.1503267973856209,0.1895424836601307,0.23529411764705882,0.17647058823529413,0.16993464052287582,0.05228758169934641,0.16993464052287582,0.1503267973856209,0.16339869281045752,0.0392156862745098,0.0392156862745098,0.013071895424836602
"GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP",0.016216216216216217,0.010810810810810811,0.005405405405405406,0.0,0.0,0.005405405405405406,0.010810810810810811,0.016216216216216217,0.016216216216216217,0.005405405405405406,0.005405405405405406,0.02702702702702703,0.016216216216216217,0.010810810810810811,0.016216216216216217,0.0,0.005405405405405406,0.0,0.005405405405405406,0.0,0.010810810810810811,0.010810810810810811,0.005405405405405406,0.02702702702702703,0.2756756756756757,1.0,0.43783783783783786,0.10270270270270271,0.10810810810810811,0.13513513513513514,0.16756756756756758,0.0972972972972973,0.12972972972972974,0.03783783783783784,0.13513513513513514,0.11891891891891893,0.10270270270270271,0.043243243243243246,0.05945945945945946,0.032432432432432434
"GSE37605 C57BL6 VS NOD FOXP3 FUSION GFP TREG
DN",0.020942408376963352,0.005235602094240838,0.0,0.005235602094240838,0.005235602094240838,0.015706806282722512,0.015706806282722512,0.005235602094240838,0.031413612565445025,0.02617801047120419,0.015706806282722512,0.020942408376963352,0.02617801047120419,0.015706806282722512,0.020942408376963352,0.0,0.010471204188481676,0.0,0.010471204188481676,0.010471204188481676,0.015706806282722512,0.015706806282722512,0.02617801047120419,0.015706806282722512,0.2879581151832461,0.42408376963350786,1.0,0.09947643979057591,0.09947643979057591,0.1518324607329843,0.17277486910994763,0.11518324607329843,0.10471204188481675,0.041884816753926704,0.08900523560209424,0.05235602094240838,0.07329842931937172,0.02617801047120419,0.020942408376963352,0.02617801047120419
GSE27434 WT VS DNMT1 KO TREG DN,0.015,0.015,0.005,0.02,0.0,0.01,0.02,0.02,0.02,0.005,0.015,0.005,0.0,0.005,0.01,0.0,0.0,0.01,0.01,0.005,0.0,0.01,0.01,0.005,0.115,0.095,0.095,1.0,0.655,0.215,0.215,0.19,0.155,0.05,0.115,0.11,0.11,0.03,0.015,0.005
GSE42021 TREG PLN VS CD24HI TREG THYMUS UP,0.015,0.02,0.01,0.005,0.005,0.0,0.005,0.015,0.02,0.005,0.015,0.01,0.005,0.005,0.025,0.005,0.01,0.01,0.015,0.01,0.005,0.01,0.005,0.005,0.115,0.1,0.095,0.655,1.0,0.215,0.205,0.16,0.14,0.045,0.105,0.11,0.09,0.02,0.02,0.015
GSE14769 UNSTIM VS 60MIN LPS BMDM DN,0.01,0.015,0.01,0.015,0.02,0.0,0.01,0.02,0.01,0.01,0.02,0.015,0.0,0.005,0.0,0.01,0.015,0.005,0.015,0.005,0.005,0.02,0.03,0.01,0.145,0.125,0.145,0.215,0.215,1.0,0.535,0.25,0.19,0.075,0.155,0.145,0.125,0.025,0.015,0.03
GSE14769 UNSTIM VS 40MIN LPS BMDM DN,0.01,0.005,0.005,0.01,0.015,0.0,0.015,0.02,0.005,0.005,0.015,0.03,0.005,0.015,0.0,0.015,0.01,0.01,0.02,0.0,0.01,0.02,0.03,0.005,0.18,0.155,0.165,0.215,0.205,0.535,1.0,0.255,0.205,0.05,0.18,0.125,0.135,0.02,0.01,0.025
"GSE26343 UNSTIM VS LPS STIM NFAT5 KO
MACROPHAGE DN",0.015,0.0,0.005,0.005,0.015,0.0,0.02,0.015,0.005,0.005,0.01,0.005,0.005,0.0,0.01,0.01,0.005,0.015,0.01,0.01,0.005,0.005,0.025,0.01,0.135,0.09,0.11,0.19,0.16,0.25,0.255,1.0,0.195,0.05,0.12,0.08,0.11,0.015,0.005,0.015
GSE9988 LOW LPS VS CTRL TREATED MONOCYTE UP,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.025380710659898477,0.01015228426395939,0.01015228426395939,0.015228426395939087,0.005076142131979695,0.01015228426395939,0.015228426395939087,0.005076142131979695,0.01015228426395939,0.005076142131979695,0.01015228426395939,0.025380710659898477,0.015228426395939087,0.015228426395939087,0.025380710659898477,0.02030456852791878,0.01015228426395939,0.015228426395939087,0.025380710659898477,0.01015228426395939,0.1319796954314721,0.1218274111675127,0.10152284263959391,0.15736040609137056,0.14213197969543148,0.19289340101522842,0.20812182741116753,0.19796954314720813,1.0,0.07614213197969544,0.49238578680203043,0.19289340101522842,0.1319796954314721,0.02030456852791878,0.025380710659898477,0.025380710659898477
"GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS A3R INH AND TCELL MEMBRANES ACT
MAST CELL UP",0.005154639175257732,0.0,0.0,0.005154639175257732,0.005154639175257732,0.010309278350515464,0.0,0.005154639175257732,0.020618556701030927,0.0,0.0,0.0,0.015463917525773196,0.005154639175257732,0.005154639175257732,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.015463917525773196,0.041237113402061855,0.03608247422680412,0.041237113402061855,0.05154639175257732,0.04639175257731959,0.07731958762886598,0.05154639175257732,0.05154639175257732,0.07731958762886598,1.0,0.05670103092783505,0.07216494845360824,0.07731958762886598,0.04639175257731959,0.04639175257731959,0.04639175257731959
"GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES UP",0.020512820512820513,0.005128205128205128,0.005128205128205128,0.02564102564102564,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.015384615384615385,0.010256410256410256,0.015384615384615385,0.020512820512820513,0.010256410256410256,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.02564102564102564,0.02564102564102564,0.03076923076923077,0.03076923076923077,0.035897435897435895,0.02564102564102564,0.020512820512820513,0.03076923076923077,0.005128205128205128,0.13333333333333333,0.1282051282051282,0.08717948717948718,0.11794871794871795,0.1076923076923077,0.15897435897435896,0.18461538461538463,0.12307692307692308,0.49743589743589745,0.05641025641025641,1.0,0.5384615384615384,0.11794871794871795,0.005128205128205128,0.020512820512820513,0.020512820512820513
"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
UP",0.020202020202020204,0.010101010101010102,0.005050505050505051,0.025252525252525252,0.015151515151515152,0.0,0.015151515151515152,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.020202020202020204,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.025252525252525252,0.03535353535353535,0.030303030303030304,0.03535353535353535,0.04040404040404041,0.025252525252525252,0.03535353535353535,0.025252525252525252,0.010101010101010102,0.11616161616161616,0.1111111111111111,0.050505050505050504,0.1111111111111111,0.1111111111111111,0.14646464646464646,0.12626262626262627,0.08080808080808081,0.1919191919191919,0.0707070707070707,0.5303030303030303,1.0,0.12626262626262627,0.010101010101010102,0.020202020202020204,0.025252525252525252
"GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP",0.0,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.0,0.015306122448979591,0.02040816326530612,0.015306122448979591,0.015306122448979591,0.0,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.0,0.015306122448979591,0.0,0.12755102040816327,0.09693877551020408,0.07142857142857142,0.11224489795918367,0.09183673469387756,0.12755102040816327,0.1377551020408163,0.11224489795918367,0.1326530612244898,0.07653061224489796,0.11734693877551021,0.12755102040816327,1.0,0.030612244897959183,0.030612244897959183,0.030612244897959183
"GSE21546 WT VS SAP1A KO AND ELK1 KO ANTI CD3
STIM DP THYMOCYTES UP",0.0,0.005050505050505051,0.0,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.015151515151515152,0.005050505050505051,0.0,0.0,0.0,0.005050505050505051,0.005050505050505051,0.0,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.005050505050505051,0.030303030303030304,0.04040404040404041,0.025252525252525252,0.030303030303030304,0.020202020202020204,0.025252525252525252,0.020202020202020204,0.015151515151515152,0.020202020202020204,0.045454545454545456,0.005050505050505051,0.010101010101010102,0.030303030303030304,1.0,0.36363636363636365,0.30808080808080807
"GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES UP",0.0,0.02030456852791878,0.0,0.015228426395939087,0.005076142131979695,0.0,0.02030456852791878,0.01015228426395939,0.015228426395939087,0.01015228426395939,0.005076142131979695,0.0,0.01015228426395939,0.01015228426395939,0.0,0.005076142131979695,0.0,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.0,0.005076142131979695,0.01015228426395939,0.0,0.030456852791878174,0.05583756345177665,0.02030456852791878,0.015228426395939087,0.02030456852791878,0.015228426395939087,0.01015228426395939,0.005076142131979695,0.025380710659898477,0.04568527918781726,0.02030456852791878,0.02030456852791878,0.030456852791878174,0.36548223350253806,1.0,0.3350253807106599
"GSE21546 UNSTIM VS ANTI CD3 STIM SAP1A KO DP
THYMOCYTES UP",0.0,0.005050505050505051,0.0,0.015151515151515152,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.0,0.005050505050505051,0.0,0.005050505050505051,0.010101010101010102,0.0,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.005050505050505051,0.005050505050505051,0.005050505050505051,0.015151515151515152,0.0,0.010101010101010102,0.030303030303030304,0.025252525252525252,0.005050505050505051,0.015151515151515152,0.030303030303030304,0.025252525252525252,0.015151515151515152,0.025252525252525252,0.045454545454545456,0.020202020202020204,0.025252525252525252,0.030303030303030304,0.30808080808080807,0.3333333333333333,1.0
