"TF","HVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-13.221399776262881431","-13.221399776262881431","13.221399776262881431","Repressed","1","viper","1","13.221399776262881431",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","0.008475000000000000","ENCODE ChIP-seq,0.008475"
"E2F1","-7.480702873730410651","-7.480702873730410651","7.480702873730410651","Repressed","2","viper","2","7.480702873730410651",NA,NA,"6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","0.004274000000000000","Enrichr Queries,0.004274"
"TFDP1","-6.219302151600098583","-6.219302151600098583","6.219302151600098583","Repressed","3","viper","3","6.219302151600098583",NA,NA,"4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","0.002489000000000000","GTEx Coexpression,0.002489"
"MYC","-6.105103409455445274","-6.105103409455445274","6.105103409455445274","Repressed","4","viper","4","6.105103409455445274",NA,NA,"6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","0.076920000000000002","Enrichr Queries,0.07692"
"HNF4A","5.017283110876163299","5.017283110876163299","5.017283110876163299","Activated","5","viper","5","5.017283110876163299",NA,NA,"6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","0.022110000000000001","ARCHS4 Coexpression,0.02211"
"ZNF639","5.002366643234603671","5.002366643234603671","5.002366643234603671","Activated","6","viper","6","5.002366643234603671",NA,NA,"4","Enrichr--Queries(rank=85); ReMap--ChIP-seq(rank=208); ARCHS4--Coexpression(rank=539); GTEx--Coexpression(rank=1241)","241","0.060539999999999997","Enrichr Queries,0.06054"
"ZFX","-4.974482929793450303","-4.974482929793450303","4.974482929793450303","Repressed","7","viper","7","4.974482929793450303",NA,NA,"5","ReMap--ChIP-seq(rank=114); Literature--ChIP-seq(rank=162); Enrichr--Queries(rank=1392); ARCHS4--Coexpression(rank=1415); GTEx--Coexpression(rank=1515)","1161","0.383799999999999975","ReMap ChIP-seq,0.3838"
"CDX2","4.739903579943351986","4.739903579943351986","4.739903579943351986","Activated","8","viper","8","4.739903579943351986",NA,NA,"5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","0.028260000000000000","ARCHS4 Coexpression,0.02826"
"ZNF263","-4.609496165306837590","-4.609496165306837590","4.609496165306837590","Repressed","9","viper","9","4.609496165306837590",NA,NA,"6","ReMap--ChIP-seq(rank=44); ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=110); Enrichr--Queries(rank=478); ARCHS4--Coexpression(rank=1338); GTEx--Coexpression(rank=1556)","562","0.148100000000000009","ReMap ChIP-seq,0.1481"
"FOXM1","-4.569250634516597742","-4.569250634516597742","4.569250634516597742","Repressed","10","viper","10","4.569250634516597742",NA,NA,"6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","0.000622300000000000","GTEx Coexpression,6.223E-4"
