"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"ATF3","15.00000000000000","2","41","41","2","2","0.01263546199544299947215","0.000000016002777737807602","1.8984088741711800","0.00062230000000000","5.65045061582395025","6","1"
"FOS","28.66666666666667","11","49","49","11","26","0.02377895817501669839533","0.002963719131586640097298","1.6238071769987801","0.00336700000000000","2.97147612839779018","5","2"
"HIF1A","35.00000000000000","1","94","1","94","10","0.00000000162765690976373","0.000172049949369185010452","8.7884371337829492","0.02439000000000000","3.75687271609884998","5","3"
"NR3C1","44.66666666666666","5","104","104","25","5","0.16698162400371699409796","0.000046216834771483301166","0.7773313194685449","0.00675700000000000","4.07397807328070982","6","4"
"SMAD3","49.33333333333334","39","62","47","39","62","0.02148139741545609937567","0.016292462536571801490215","1.6679374701753999","0.01010000000000000","2.40229726917741004","5","5"
"STAT1","54.66666666666666","29","103","29","103","32","0.00253785867667326000066","0.004256862555262820244084","2.5955325657124799","0.02694000000000000","2.85847231281135006","6","6"
"JUN","56.66666666666667","14","126","14","30","126","0.00035972363917603702044","0.067427645834153698833902","3.4440310216577901","0.00809000000000000","1.82881287313470997","6","7"
"NR4A1","60.00000000000000","16","109","55","16","109","0.04016152988741149981733","0.054345674109544397922811","1.3961897518140900","0.00491400000000000","1.92407108312566000","4","8"
"EPAS1","65.33333333333333","23","124","23","49","124","0.00146967293864712009177","0.066486861265336205661924","2.8327793024930101","0.01245000000000000","1.83512708749053011","4","9"
"EGR1","68.66666666666667","20","108","78","20","108","0.07497203210992209321262","0.054091619177289697317779","1.1251007174830201","0.00569800000000000","1.92610215845089994","6","10"
"GATA6","74.00000000000000","30","107","30","107","85","0.00266036889143286998938","0.034173317226958002668091","2.5750581391562002","0.02764000000000000","2.11802066936430000","5","11"
"MYC","79.66666666666667","18","171","50","171","18","0.02423806301859229850315","0.001536315125284549998330","1.6155020897016701","0.04480000000000000","3.16773495518927017","6","12"
"GATA3","80.00000000000000","24","181","24","181","35","0.00207173136303332979316","0.004929009193199839627963","2.6836665593109501","0.04792000000000000","2.81163702054766018","6","13"
"SNAI2","84.00000000000000","38","123","91","123","38","0.11744566025708599865673","0.007147929876164410036010","0.9301630262360679","0.03133000000000000","2.68987261318327997","4","14"
"FOSL1","88.66666666666667","25","133","108","133","25","0.18206679919684601309804","0.002725534130112370039684","0.7397692427839190","0.03367000000000000","2.99710880866245999","5","15"
"NFKB1","91.66666666666666","4","235","4","36","235","0.00000944876727875962016","0.173548970960770987392863","5.0246248474646702","0.00982800000000000","1.36088836497817001","4","16"
"JUNB","101.33333333333333","73","157","73","74","157","0.06788774178414369586676","0.097191152203378400331601","1.1682086374442799","0.01929000000000000","1.65862613414645010","4","17"
"MAFK","102.66666666666667","43","199","66","43","199","0.06178765236521609888198","0.141295930629218996488206","1.2090983055816900","0.01120000000000000","1.47098220038918992","5","18"
